,date,Overall positivity rate,Positivity rate by day,fatality rate,fatality rate by day
0,2020-03-04,0.025806451612903226,0.0,0.0,0.0
1,2020-03-05,0.02538071065989848,0.023809523809523808,0.0,0.0
2,2020-03-06,0.022727272727272728,0.0,0.0,0.0
3,2020-03-07,0.024896265560165973,0.08333333333333333,0.0,0.0
4,2020-03-08,0.024896265560165973,0.0,0.0,0.0
5,2020-03-09,0.028925619834710745,1.0,0.0,0.0
6,2020-03-10,0.05828220858895705,0.18461538461538465,0.0,0.0
7,2020-03-11,0.05828220858895705,0.0,0.0,0.0
8,2020-03-12,0.0681198910081744,0.21428571428571427,0.0,0.0
9,2020-03-13,0.07655502392344497,0.2,0.0,0.0
10,2020-03-14,0.1036036036036036,0.3888888888888889,0.0,0.0
11,2020-03-15,0.0903954802259887,0.11920529801324505,0.0,0.0
12,2020-03-16,0.09073170731707317,0.056640625,0.0,0.0
13,2020-03-17,0.10607071380920614,0.13924050632911392,0.006289308176100629,0.015151515151515154
14,2020-03-18,0.14041930765480254,0.23369565217391305,0.003472222222222222,0.0
15,2020-03-19,0.13409596441054972,0.12226277372262775,0.009478672985781993,0.022388059701492536
16,2020-03-20,0.13665031534688155,0.1437389770723104,0.008547008547008548,0.006134969325153374
17,2020-03-21,0.12065374138759816,0.08571428571428573,0.00796812749003984,0.005952380952380952
18,2020-03-22,0.12608173076923074,0.14237614237614238,0.008579599618684463,0.010135135135135136
19,2020-03-23,0.1291599025974026,0.14583333333333334,0.009426551453260016,0.013392857142857142
20,2020-03-24,0.13383904438050398,0.1624302541847489,0.010423452768729642,0.015267175572519085
21,2020-03-25,0.13125483848265185,0.12043795620437955,0.010187667560321715,0.00909090909090909
22,2020-03-26,0.15260657807708494,0.277869529314616,0.01024428684003152,0.010401188707280832
23,2020-03-27,0.14046977996472007,0.0993687639991855,0.011235955056179777,0.016393442622950817
24,2020-03-28,0.13695029618296653,0.1177513294504938,0.013463191062732742,0.027956989247311832
25,2020-03-29,0.16555003241841365,0.4865697930427125,0.014142732811140122,0.016289592760180997
26,2020-03-30,0.16609735269000853,0.1717585692995529,0.014435436029266363,0.01735357917570499
27,2020-03-31,0.17016323633782826,0.19606612261979492,0.016516516516516516,0.02774813233724653
28,2020-04-01,0.1728407290015848,0.1911223105252956,0.020200573065902575,0.04259634888438134
29,2020-04-02,0.17626443100604727,0.218520782396088,0.020402858999350227,0.022377622377622374
30,2020-04-03,0.1853146853146853,0.27527322404371585,0.02358490566037736,0.04383788254755997
31,2020-04-04,0.19329613109124505,0.2626061810952467,0.0234623925847253,0.022711631108052303
32,2020-04-05,0.1908346472712477,0.16641984450203628,0.024342572850035542,0.03448275862068965
33,2020-04-06,0.1948142734581043,0.2541045718615812,0.025036698744087427,0.032803180914512925
34,2020-04-07,0.1971279753244486,0.222279792746114,0.028046350284153813,0.05672105672105673
35,2020-04-08,0.2008632403484933,0.24139564256394064,0.030640668523676882,0.05362982341399608
36,2020-04-09,0.20309929876201194,0.2320842686927992,0.03215199123127512,0.049107142857142856
37,2020-04-10,0.20435979754818512,0.21964017991004495,0.033320288477665334,0.04641638225255973
38,2020-04-11,0.20814116268217775,0.2797490263954998,0.03529718456725756,0.06264501160092807
39,2020-04-12,0.20699856057973887,0.1947356161192639,0.034529061960483415,0.025717703349282296
40,2020-04-13,0.2082387867786098,0.233061792171667,0.036049943246311014,0.06308610400682013
41,2020-04-14,0.21015947060099804,0.25206270627062705,0.037338151159289366,0.060556464811783964
42,2020-04-15,0.21032421383916736,0.21321083478536354,0.03854755418208433,0.05943536404160475
43,2020-04-16,0.20991279804876456,0.20141342756183744,0.04165857070687444,0.1087719298245614
44,2020-04-17,0.21184975761161007,0.24320042249801954,0.04112420670897552,0.033659066232356136
45,2020-04-18,0.2122208960437833,0.2188924181742853,0.0431755829903978,0.07886435331230282
46,2020-04-19,0.2118156826079069,0.20240108217788302,0.04249431762031821,0.025898078529657483
47,2020-04-20,0.21237816632739728,0.2283730158730159,0.04281452329567094,0.05125977410947002
48,2020-04-21,0.2132879991225637,0.23361952101220065,0.04440545691037237,0.07672469374597034
49,2020-04-22,0.2136224794032103,0.21916782543587549,0.04457673464737382,0.04734016593460225
50,2020-04-23,0.2131020794387131,0.20356744704570792,0.045703146152596526,0.06736035049288061
51,2020-04-24,0.2091313702328721,0.16695268448149056,0.04526199001462505,0.03928046989720999
52,2020-04-25,0.207209709498703,0.1768043387567793,0.04485721808650693,0.03728173666823974
53,2020-04-26,0.20424559901745507,0.15943007124109487,0.04402888185317632,0.0277516462841016
54,2020-04-27,0.20157010561090904,0.15620069422530766,0.043218621275853804,0.02525252525252525
55,2020-04-28,0.1986134795552234,0.1523933795755786,0.0441769572990728,0.06399278954484001
56,2020-04-29,0.1961880568986274,0.15561541649399088,0.04398768741932281,0.03994673768308921
57,2020-04-30,0.19608918467244976,0.19416666666666665,0.0445028156770853,0.05462348809988295
58,2020-05-01,0.19689976395211603,0.21165913231225966,0.04383195076264383,0.032515141855275737
59,2020-05-02,0.1950842958892416,0.16109942135718044,0.04373985129476113,0.04163265306122449
60,2020-05-03,0.19259785852752628,0.15419477777205542,0.042569797882892405,0.0197060788243153
61,2020-05-04,0.19162711955983394,0.16922076044527976,0.04169799498746867,0.018795386586928663
62,2020-05-05,0.1904841662671896,0.16150391962858665,0.043024771838331165,0.08294062205466543
63,2020-05-06,0.18887228035210102,0.1515960999065046,0.0435865869386798,0.05991189427312775
64,2020-05-07,0.18697878604802093,0.14851262441657764,0.043895418565603264,0.05187429004165089
65,2020-05-08,0.1845319403373412,0.13966426394465675,0.04393980477223428,0.04502944232767578
66,2020-05-09,0.18275122438636565,0.13991695251850514,0.04401656042583952,0.04645161290322581
67,2020-05-10,0.1807997506883977,0.12129202373104812,0.04381214545735198,0.034420289855072464
68,2020-05-11,0.1785771599706165,0.10176030865686038,0.04378093080359968,0.04186413902053712
69,2020-05-12,0.17600717418818676,0.1371557438666029,0.0433745678804158,0.03537618335824614
70,2020-05-13,0.17307947743885368,0.0949173647271904,0.044770832841389406,0.1138938580799046
71,2020-05-14,0.1717395422596414,0.14282564600052916,0.044668342108554984,0.041988267983945664
72,2020-05-15,0.16778437510443706,0.09154903067946546,0.04490477929378437,0.05345394736842105
73,2020-05-16,0.16461704730178456,0.09059747472556083,0.04465859805098586,0.034003831417624523
